,loss,accuracy,val_loss,val_accuracy
0,3.2300548553466797,0.08200934529304504,2.7817327976226807,0.2018691599369049
1,2.58109712600708,0.2415887862443924,2.0476882457733154,0.4691588878631592
2,1.9490966796875,0.4567756950855255,1.6358519792556763,0.5560747385025024
3,1.5721704959869385,0.5607476830482483,1.3259087800979614,0.6672897338867188
4,1.285129427909851,0.6434579491615295,1.146281361579895,0.7205607295036316
5,1.0965982675552368,0.7011682391166687,0.9954954981803894,0.7588785290718079
6,0.9508378505706787,0.7460280656814575,0.901034951210022,0.7775700688362122
7,0.83327716588974,0.7787383198738098,0.8338362574577332,0.7953271269798279
8,0.7584630250930786,0.7936915755271912,0.7845114469528198,0.8037382960319519
9,0.6911008358001709,0.8100467324256897,0.7412265539169312,0.8280373811721802
10,0.6252692937850952,0.8315420746803284,0.7013266682624817,0.8233644962310791
11,0.5723752379417419,0.8434579372406006,0.6800342202186584,0.8233644962310791
12,0.5272909998893738,0.8542056083679199,0.6410719156265259,0.8401868939399719
13,0.48477622866630554,0.8656542301177979,0.6380811929702759,0.836448609828949
14,0.47111135721206665,0.8649532794952393,0.6036041378974915,0.8514018654823303
15,0.4236186444759369,0.8794392347335815,0.5988089442253113,0.8514018654823303
16,0.39714133739471436,0.8864486217498779,0.5835030674934387,0.8532710075378418
17,0.3728395998477936,0.8920560479164124,0.5817574262619019,0.8570093512535095
18,0.3608878254890442,0.8941588997840881,0.5774363279342651,0.8616822361946106
19,0.3459661602973938,0.8941588997840881,0.5822196006774902,0.8570093512535095
20,0.34493279457092285,0.8962616920471191,0.5621060132980347,0.8560747504234314
21,0.32322052121162415,0.9007009267807007,0.565791130065918,0.855140209197998
22,0.2977745532989502,0.906775712966919,0.5385794639587402,0.8626168370246887
23,0.2773666977882385,0.9165887832641602,0.5576379895210266,0.8542056083679199
24,0.2756495773792267,0.9144859910011292,0.5425490736961365,0.855140209197998
25,0.2637558877468109,0.9205607771873474,0.5362043380737305,0.8635513782501221
26,0.24804484844207764,0.925467312335968,0.5440033674240112,0.8654205799102783
27,0.23078922927379608,0.9285046458244324,0.5334142446517944,0.872897207736969
28,0.22527259588241577,0.9285046458244324,0.5341200232505798,0.872897207736969
29,0.21697837114334106,0.9294392466545105,0.5369353890419006,0.8691588640213013
30,0.19840684533119202,0.9415887594223022,0.5420213937759399,0.8700934648513794
31,0.18768835067749023,0.941121518611908,0.5353781580924988,0.8738317489624023
32,0.17977148294448853,0.945794403553009,0.5549356937408447,0.8663551211357117
33,0.175268292427063,0.9427570104598999,0.5298534631729126,0.8757009506225586
34,0.17735156416893005,0.9427570104598999,0.5471065044403076,0.8719626069068909
35,0.1611548215150833,0.9502336382865906,0.5491565465927124,0.8757009506225586
36,0.1657053679227829,0.943224310874939,0.5552517771720886,0.8738317489624023
37,0.1650492548942566,0.9404205679893494,0.541881799697876,0.8757009506225586
38,0.14833873510360718,0.9537383317947388,0.5551825761795044,0.8757009506225586
39,0.14768491685390472,0.9481308460235596,0.5699484944343567,0.8710280656814575
